alpha_id,formula,fields,group,lookback_days,delay_adaptation,formula_hash,formula_status,semantic_adaptations,semantics_version,adv_basis,evaluation_status,execution_status,strict_pit_status
1,"(rank(Ts_ArgMax(SignedPower(((returns < 0) ? stddev(returns, 20) : close), 2.), 5)) - 0.5)","[""close"", ""returns""]",price_volume,25,next_session,cd92e26ec13458e6a764c536ab37749046cca4b71412a0980593b2f7709802f2,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
2,"(-1 * correlation(rank(delta(log(volume), 2)), rank(((close - open) / open)), 6))","[""close"", ""open"", ""volume""]",price_volume,8,next_session,2a47f3627058e79f8e58d45dba19806af42a6a640bd6cdd8066fd29d80f9c9d8,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
3,"(-1 * correlation(rank(open), rank(volume), 10))","[""open"", ""volume""]",price_volume,10,next_session,044641cdc5ea8e3efb83ae940a1a38d47d07d7a40ea40c84eeaae34bd1cf78bc,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
4,"(-1 * Ts_Rank(rank(low), 9))","[""low""]",price_volume,9,next_session,d73c708b6c81661c4dca917f9f24cebea7c01a90c4d19f5b4e4e8b6a970a01de,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
5,"(rank((open - (sum(vwap, 10) / 10))) * (-1 * abs(rank((close - vwap)))))","[""close"", ""open"", ""vwap""]",price_volume,10,next_session,01f3e495b995727bd0c6a8534bea51a8dbdf6424ac563b81c9f841adedbeb8e4,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
6,"(-1 * correlation(open, volume, 10))","[""open"", ""volume""]",price_volume,10,next_session,0c60fa02af2606eb149e16d4dea130d07f85451257a9d2ed17065ec081e08b73,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
7,"((adv20 < volume) ? ((-1 * ts_rank(abs(delta(close, 7)), 60)) * sign(delta(close, 7))) : (-1 * 1))","[""amount"", ""close"", ""volume""]",price_volume,67,next_session,63cd347f98ebb94fb0498251845f0513410e604794b6f0c4ce082cc8570dfeea,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
8,"(-1 * rank(((sum(open, 5) * sum(returns, 5)) - delay((sum(open, 5) * sum(returns, 5)), 10))))","[""open"", ""returns""]",price_volume,16,next_session,144f440dcec71f7e5d87baf9a8613ce86df64361a64c5e81ae772271b014b8e2,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
9,"((0 < ts_min(delta(close, 1), 5)) ? delta(close, 1) : ((ts_max(delta(close, 1), 5) < 0) ? delta(close, 1) : (-1 * delta(close, 1))))","[""close""]",price_volume,6,next_session,5b8d1430209286f3b256db3228e0a99fce797c3a522a40af5b368472837802c4,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
10,"rank(((0 < ts_min(delta(close, 1), 4)) ? delta(close, 1) : ((ts_max(delta(close, 1), 4) < 0) ? delta(close, 1) : (-1 * delta(close, 1)))))","[""close""]",price_volume,5,next_session,8da231827e985c8c7885cddd703ff2effdfead7d7ff1413073ed59559a664e12,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
11,"((rank(ts_max((vwap - close), 3)) + rank(ts_min((vwap - close), 3))) * rank(delta(volume, 3)))","[""close"", ""volume"", ""vwap""]",price_volume,4,next_session,1ffda45b6192297dc5a9523a951dcc7759f56a47b1f3a469f1854f6aa42a5aba,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
12,"(sign(delta(volume, 1)) * (-1 * delta(close, 1)))","[""close"", ""volume""]",price_volume,2,next_session,b52a9c3fa41fab5ecda6f4333aeebaf04ce653b419276d3f178edda787bba0d2,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
13,"(-1 * rank(covariance(rank(close), rank(volume), 5)))","[""close"", ""volume""]",price_volume,5,next_session,1315739246c28ebe7e4c813bb5d3b76d3ce8d1769b0c902438c55cf5193b4846,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
14,"((-1 * rank(delta(returns, 3))) * correlation(open, volume, 10))","[""open"", ""returns"", ""volume""]",price_volume,10,next_session,d76e2ec6668b7b6b51ad4a4f675d11c8a7b8c4a2b449861482d010eb593359ee,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
15,"(-1 * sum(rank(correlation(rank(high), rank(volume), 3)), 3))","[""high"", ""volume""]",price_volume,5,next_session,1c9bba3bff228491ac6006f6c5e5bf3ebda039b4507c096e9ef2c96a0ba9afea,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
16,"(-1 * rank(covariance(rank(high), rank(volume), 5)))","[""high"", ""volume""]",price_volume,5,next_session,3ffbf7f4b0fe182d1edce7fe7f0eae4cee310adea1873c4fe6eae243a1a338e0,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
17,"(((-1 * rank(ts_rank(close, 10))) * rank(delta(delta(close, 1), 1))) * rank(ts_rank((volume / adv20), 5)))","[""amount"", ""close"", ""volume""]",price_volume,24,next_session,829f2a7e89c5a06063b1bf19adc090b452e7c951947fc2bb4d78d0aabf156688,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
18,"(-1 * rank(((stddev(abs((close - open)), 5) + (close - open)) + correlation(close, open, 10))))","[""close"", ""open""]",price_volume,10,next_session,d84523de7d2b7785770518853f8ea3a5dc94bc6141b95d4cea9b0d2804f0710d,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
19,"((-1 * sign(((close - delay(close, 7)) + delta(close, 7)))) * (1 + rank((1 + sum(returns, 250)))))","[""close"", ""returns""]",price_volume,251,next_session,4109d4daac818fd97f702f7a42ad3373be60648121f25fc272bebeae9e040a5c,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
20,"(((-1 * rank((open - delay(high, 1)))) * rank((open - delay(close, 1)))) * rank((open - delay(low, 1))))","[""close"", ""high"", ""low"", ""open""]",price_volume,2,next_session,3649a9eb8ac2e2da9073fcd9738f9fad1f5e82cc8673aa02e5b6257c629c85ce,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
21,"((((sum(close, 8) / 8) + stddev(close, 8)) < (sum(close, 2) / 2)) ? (-1 * 1) : (((sum(close, 2) / 2) < ((sum(close, 8) / 8) - stddev(close, 8))) ? 1 : (((1 < (volume / adv20)) || ((volume / adv20) == 1)) ? 1 : (-1 * 1))))","[""amount"", ""close"", ""volume""]",price_volume,20,next_session,08f9df4a1013fc366f7d630a03880a211f79d879f1f5c4dded424f1b3314f892,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
22,"(-1 * (delta(correlation(high, volume, 5), 5) * rank(stddev(close, 20))))","[""close"", ""high"", ""volume""]",price_volume,20,next_session,e013a9ead6e5365fc63d650215e03ed3f650612f09861358c77b6b620016be95,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
23,"(((sum(high, 20) / 20) < high) ? (-1 * delta(high, 2)) : 0)","[""high""]",price_volume,20,next_session,ef0b4ed3dc8e693a12cac72832189e81172683203bbb673ee3a180cbc56b03d4,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
24,"((((delta((sum(close, 100) / 100), 100) / delay(close, 100)) < 0.05) || ((delta((sum(close, 100) / 100), 100) / delay(close, 100)) == 0.05)) ? (-1 * (close - ts_min(close, 100))) : (-1 * delta(close, 3)))","[""close""]",price_volume,200,next_session,503a98b4b81c8e6601cb45f968af3ac9309256293d689712b2f4618230771ea8,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
25,rank(((((-1 * returns) * adv20) * vwap) * (high - close))),"[""amount"", ""close"", ""high"", ""returns"", ""vwap""]",price_volume,20,next_session,2d1a95c11ca58357c913740d06c6af1df7229106d298559061f6065eef1eb3df,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
26,"(-1 * ts_max(correlation(ts_rank(volume, 5), ts_rank(high, 5), 5), 3))","[""high"", ""volume""]",price_volume,11,next_session,db98b826b2c637bafeb2cabf4e4012504f9b80e16d6ecc0385ef7df6888c79e0,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
27,"((0.5 < rank((sum(correlation(rank(volume), rank(vwap), 6), 2) / 2.0))) ? (-1 * 1) : 1)","[""volume"", ""vwap""]",price_volume,7,next_session,2c6b7a79943d5f1e1f4d4cf01a2b844e794478dccee04a516a087d31fa49228b,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
28,"scale(((correlation(adv20, low, 5) + ((high + low) / 2)) - close))","[""amount"", ""close"", ""high"", ""low""]",price_volume,24,next_session,6972847ba1ec78e202b7aecef8f5da7ea3d5433482e0d129b3aea2b225b41d50,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
29,"(min(product(rank(rank(scale(log(sum(ts_min(rank(rank((-1 * rank(delta((close - 1), 5))))), 2), 1))))), 1), 5) + ts_rank(delay((-1 * returns), 6), 5))","[""close"", ""returns""]",price_volume,12,next_session,aba6d3db804f87b5ac77cc1d34edc58ca6e7fa51f1c7d86480be31b7c6b37d55,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
30,"(((1.0 - rank(((sign((close - delay(close, 1))) + sign((delay(close, 1) - delay(close, 2)))) + sign((delay(close, 2) - delay(close, 3)))))) * sum(volume, 5)) / sum(volume, 20))","[""close"", ""volume""]",price_volume,20,next_session,9affa998436047b9ea79e78e85df7e74cfb9b712483ddefaca91c8fe0a16db4e,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
